year,county_name,precinct_code,total_precinct_votes,total_registered_voters,voter_turnout,anomaly_score
2008,York,1050,20080,5016,4.003189792663477,-0.058999948486403886
2020,York,610,21759,4612,4.717909800520381,-0.05860426317922107
2024,Chester,60,24193,4352,5.559053308823529,-0.058505512087266065
2024,Lehigh,1300,23947,4284,5.589869281045751,-0.058505512087266065
2012,Monroe,176,16659,4933,3.377052503547537,-0.05827767882249546
2008,Chester,380,22915,4560,5.025219298245614,-0.05799233914043067
2020,York,410,18894,4277,4.417582417582418,-0.05769592332272211
2012,Monroe,220,21024,4544,4.626760563380282,-0.05759090574139791
2016,Monroe,160,19212,4745,4.048893572181243,-0.05755472853653698
2008,York,240,23321,4806,4.852476071577195,-0.05748590289498412
2008,Monroe,220,18613,4777,3.89637848021771,-0.057479623984370454
2020,York,950,20334,4434,4.585926928281461,-0.0570847410084343
2016,Chester,880,23108,3852,5.998961578400831,-0.05699181039306733
2020,Lehigh,880,22069,4482,4.9239178937974115,-0.05697980918148138
2016,York,155,22778,4396,5.181528662420382,-0.05697980918148138
2024,Chester,1824,21884,3315,6.601508295625942,-0.056788684481848484
2004,Chester,380,23541,4423,5.322405607054035,-0.05622730484681626
2016,Pike,25,19291,4275,4.512514619883041,-0.05607343835587042
2024,Cumberland,275,23618,4195,5.630035756853397,-0.055975020767674244
2008,York,155,18648,4359,4.278045423262216,-0.05524303870427416
2008,Monroe,173,16381,5067,3.232879415827906,-0.05516816615918596
2008,York,200,17983,4678,3.844164172723386,-0.05495259731040092
2020,Butler,420,22861,4160,5.495432692307692,-0.05446082991271817
2012,Pike,25,17017,4401,3.866621222449443,-0.05444821701708502
2004,York,240,23289,4317,5.394718554551772,-0.054356266244072415
2012,Butler,730,17040,4562,3.7352038579570364,-0.054298859046485015
2016,Cumberland,269,21790,3489,6.245342505015764,-0.05414165010170113
2008,Monroe,160,18357,4836,3.7959057071960296,-0.053839686687433774
2024,Lehigh,1340,23457,3931,5.967183922665988,-0.05360640210666745
2012,Chester,80,23568,3984,5.9156626506024095,-0.05328842718428595
2024,Butler,15,20713,3019,6.860881086452467,-0.05325650298721252
2020,Chester,880,23504,4155,5.656799037304452,-0.05294970938313037
2024,York,1100,22834,4227,5.401939910101727,-0.052845357738275034
2024,York,640,23446,4354,5.384933394579697,-0.052845357738275034
2008,Monroe,176,15947,5079,3.139791297499508,-0.05264894577735757
2016,York,610,20323,4315,4.7098493626882965,-0.05254463633233908
2024,Monroe,23,21421,4244,5.047360980207351,-0.052440341522873024
2012,Monroe,53,15374,5173,2.971969843417746,-0.05214612357599224
2004,Pike,20,15483,4821,3.2115743621655257,-0.05214612357599224
2012,Chester,790,23264,3908,5.952917093142272,-0.052097014100664474
2020,Cumberland,275,23228,4120,5.637864077669903,-0.051943998358114696
2016,Lehigh,880,21799,4250,5.129176470588235,-0.0519376604125561
2008,Columbia,150,13105,5498,2.3835940341942523,-0.051747824471786164
2024,Pike,65,18625,4270,4.361826697892272,-0.05171816024149467
2012,Chester,880,22204,3736,5.943254817987152,-0.05159456520241834
2008,York,160,19213,4271,4.498478108171389,-0.05153947307039641
2024,York,728,21452,4181,5.130829944989237,-0.051435319294369175
2024,Chester,380,20941,3243,6.457292630280604,-0.05132009057858289
2020,Butler,15,23476,3999,5.870467616904226,-0.05127744966653813
2004,Monroe,160,14923,4463,3.343714989917096,-0.05114149920591515
2020,Chester,60,20619,4280,4.817523364485981,-0.050933317938356204
2004,Lehigh,910,22365,4087,5.472229018840225,-0.050835577698297385
2024,Franklin,240,21128,3268,6.465116279069767,-0.05081816715837395
2008,Monroe,53,12931,5603,2.3078707835088346,-0.05081816715837395
2024,Chester,270,20460,3119,6.559794806027573,-0.05074373870466198
2016,Monroe,370,15184,4347,3.4929836668967105,-0.05071411458804842
2024,Wayne,190,21418,4163,5.144847465769877,-0.05043165611471634
2004,Monroe,220,17539,4292,4.086439888164026,-0.050395824998166194
2016,Allegheny,5950,14742,4804,3.068692756036636,-0.05013823334668199
2020,Northampton,1030,19464,4194,4.6409155937052935,-0.0500342761771807
2024,Montgomery,3300,22582,3916,5.766598569969356,-0.04993665440988382
2024,Cumberland,269,22615,3918,5.772077590607453,-0.04993665440988382
2020,Cumberland,269,22282,4036,5.520812685827552,-0.04993665440988382
2024,Montgomery,2960,22427,3839,5.841885907788487,-0.049772784078277454
2024,Montgomery,1989,22841,4024,5.676192842942346,-0.04943566668707866
2016,Butler,5,22301,3924,5.683231396534149,-0.04943566668707866
2008,Pike,25,14287,4596,3.1085726718885986,-0.04913632416123648
2012,York,610,22600,4034,5.602379771938523,-0.04893501781106835
2024,York,590,21489,4144,5.185569498069498,-0.04842839955331302
2000,Butler,10,20480,4259,4.808640525945058,-0.04842839955331302
2008,Butler,730,18104,4134,4.37929366231253,-0.04820993650004746
2012,Cumberland,650,14263,4394,3.246017296313154,-0.04813576981500611
2020,Lehigh,1245,19719,4157,4.743565070964638,-0.04803209360913396
2012,York,155,21147,4132,5.117860600193611,-0.04792843194996521
2012,Monroe,370,17655,4239,4.164897381457891,-0.04789272184283189
2012,Dauphin,1145,21229,3597,5.9018626633305535,-0.047771308241372545
2024,Lehigh,1250,21905,3737,5.861653732940861,-0.047771308241372545
